"","edad","anos_de_experiencia","anos_en_la_empresa_actual","anos_en_el_puesto_actual","perfil","salario_bruto","salario_neto"
"1",28,2,2,2,"BI Analyst / Data Analyst",43000,38000
"2",34,9,5,5,"BI Analyst / Data Analyst",140000,80000
"3",28,3,1,3,"BI Analyst / Data Analyst",54000,45000
"4",31,12,0,0,"BI Analyst / Data Analyst",55000,40000
"5",28,2,1,1,"BI Analyst / Data Analyst",41700,34600
"6",29,3,2,3,"BI Analyst / Data Analyst",50000,42000
"7",28,5,0,0,"Data Scientist / Data Engineer",220000,120000
"8",28,7,0,0,"Data Scientist / Data Engineer",208000,135000
"9",31,8,1,6,"BI Analyst / Data Analyst",190000,130000
"10",35,5,13,2,"BI Analyst / Data Analyst",70000,59000
"11",32,10,0,0,"Data Scientist / Data Engineer",185000,120000
"12",31,11,7,1,"Data Scientist / Data Engineer",178500,125600
"13",33,10,0,0,"Data Scientist / Data Engineer",178000,110000
"14",32,0,4,4,"BI Analyst / Data Analyst",32000,29000
"15",37,15,0,0,"BI Analyst / Data Analyst",177000,135000
"16",39,10,0,0,"Data Scientist / Data Engineer",157500,119000
"17",33,7,3,1,"BI Analyst / Data Analyst",155000,105000
"18",32,10,8,2,"Data Scientist / Data Engineer",150000,90000
"19",31,3,5,3,"BI Analyst / Data Analyst",83000,55000
"20",29,3,3,3,"BI Analyst / Data Analyst",91000,87000
"21",31,2,4,2,"BI Analyst / Data Analyst",37000,31000
"22",32,5,1,1,"BI Analyst / Data Analyst",146000,1e+05
"23",38,8,2,4,"Data Scientist / Data Engineer",145000,110000
"24",47,20,15,3,"BI Analyst / Data Analyst",51000,40000
"25",41,15,10,9,"BI Analyst / Data Analyst",136000,98000
"26",50,20,1,5,"BI Analyst / Data Analyst",135000,1e+05
"27",25,2,4,2,"BI Analyst / Data Analyst",52000,44000
"28",23,3,0,0,"BI Analyst / Data Analyst",52000,43000
"29",40,14,4,2,"Data Scientist / Data Engineer",135000,95000
"30",31,5,10,4,"BI Analyst / Data Analyst",130000,1e+05
"31",36,16,3,6,"BI Analyst / Data Analyst",110000,87300
"32",26,2,0,0,"BI Analyst / Data Analyst",120000,110000
"33",36,14,3,3,"BI Analyst / Data Analyst",130000,99000
"34",26,4,0,4,"Data Scientist / Data Engineer",130000,96000
"35",36,10,8,2,"Data Scientist / Data Engineer",121000,77000
"36",37,13,0,0,"BI Analyst / Data Analyst",70000,60000
"37",25,2,2,2,"BI Analyst / Data Analyst",57000,42000
"38",51,25,5,5,"BI Analyst / Data Analyst",120000,85000
"39",28,3,5,1,"BI Analyst / Data Analyst",80000,63000
"40",42,10,10,5,"BI Analyst / Data Analyst",120000,95000
"41",29,5,0,0,"Data Scientist / Data Engineer",120000,89000
"42",32,2,1,1,"Data Scientist / Data Engineer",120000,88457
"43",32,5,0,0,"Data Scientist / Data Engineer",120000,80000
"44",28,4,0,3,"Data Scientist / Data Engineer",120000,90000
"45",35,15,5,3,"BI Analyst / Data Analyst",119000,86000
"46",31,10,0,0,"BI Analyst / Data Analyst",115000,93000
"47",27,9,7,3,"BI Analyst / Data Analyst",115000,90000
"48",27,2,15,15,"BI Analyst / Data Analyst",50000,43000
"49",27,2,0,0,"Data Scientist / Data Engineer",115000,95000
"50",36,5,0,5,"BI Analyst / Data Analyst",72000,60000
"51",31,4,0,0,"Data Scientist / Data Engineer",112000,84000
"52",36,12,3,6,"BI Analyst / Data Analyst",110000,80000
"53",35,6,0,5,"Data Scientist / Data Engineer",110000,86000
"54",31,3,8,2,"Data Scientist / Data Engineer",110000,80000
"55",23,1,1,1,"BI Analyst / Data Analyst",35000,30000
"56",27,1,1,0,"Data Scientist / Data Engineer",108000,89000
"57",27,3,1,1,"BI Analyst / Data Analyst",106000,73000
"58",31,5,1,1,"BI Analyst / Data Analyst",75000,62000
"59",35,12,0,12,"Data Scientist / Data Engineer",105800,80000
"60",55,30,3,3,"BI Analyst / Data Analyst",105000,78000
"61",32,9,9,9,"BI Analyst / Data Analyst",105000,80000
"62",46,16,5,5,"BI Analyst / Data Analyst",105000,75000
"63",28,7,2,5,"BI Analyst / Data Analyst",103000,80000
"64",29,0,0,0,"BI Analyst / Data Analyst",41000,34500
"65",28,4,0,3,"BI Analyst / Data Analyst",1e+05,75000
"66",36,2,1,2,"BI Analyst / Data Analyst",70000,66000
"67",32,6,4,4,"BI Analyst / Data Analyst",1e+05,70000
"68",35,8,5,5,"BI Analyst / Data Analyst",1e+05,80000
"69",27,5,2,0,"BI Analyst / Data Analyst",1e+05,78000
"70",36,10,0,0,"Data Scientist / Data Engineer",1e+05,80000
"71",29,4,2,3,"BI Analyst / Data Analyst",62000,55000
"72",26,3,3,1,"BI Analyst / Data Analyst",80000,70000
"73",33,3,1,1,"Data Scientist / Data Engineer",1e+05,70000
"74",37,15,1,1,"BI Analyst / Data Analyst",48200,42150
"75",24,2,2,2,"BI Analyst / Data Analyst",26250,21000
"76",34,5,0,0,"BI Analyst / Data Analyst",40000,37000
"77",30,9,0,0,"BI Analyst / Data Analyst",1e+05,85000
"78",43,23,1,1,"BI Analyst / Data Analyst",1e+05,80000
